industry_display,description,rollup
1,Oilseed farming,Agriculture
2,Grain farming,Agriculture
3,Vegetable and melon farming,Agriculture
4,Fruit farming,Agriculture
5,Tree nut farming,Agriculture
6,"Greenhouse, nursery, and floriculture production",Agriculture
7,Tobacco farming,Agriculture
8,Cotton farming,Agriculture
9,Sugarcane and sugar beet farming,Agriculture
10,All other crop farming,Agriculture
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Agriculture
12,Dairy cattle and milk production,Agriculture
13,Poultry and egg production,Agriculture
14,"Animal production, except cattle and poultry and eggs",Agriculture
15,"Forestry, forest products, and timber tract production",Extraction
16,Commercial logging,Extraction
17,Commercial fishing,Extraction
18,Commercial hunting and trapping,Extraction
19,Support activities for agriculture and forestry,Extraction
20,Oil and gas extraction,Extraction
21,Coal mining,Extraction
22,"Copper, nickel, lead, and zinc mining",Extraction
23,Iron ore mining,Extraction
24,Gold ore and silver ore mining,Extraction
25,Other metal ore mining,Extraction
26,Stone mining and quarrying,Extraction
27,Sand and gravel mining,Extraction
28,"Other clay, ceramic, refractory minerals mining",Extraction
29,Other nonmetallic mineral mining and quarrying,Extraction
30,Drilling oil and gas wells,Extraction
31,Support activities for oil and gas operations,Extraction
32,Metal mining services,Extraction
33,Other nonmetallic minerals services,Extraction
34,Electric power generation - Hydroelectric,Utilities
35,Electric power generation - Fossil  fuel,Utilities
36,Electric power generation - Nuclear,Utilities
37,Electric power generation - Solar,Utilities
38,Electric power generation - Wind,Utilities
39,Electric power generation - Geothermal,Utilities
40,Electric power generation - Biomass,Utilities
41,Electric power generation - All other,Utilities
42,Electric power transmission and distribution,Utilities
43,Natural gas distribution,Utilities
44,"Water, sewage and other systems",Utilities
45,Construction of new health care structures,Construction & Maintenance
46,Construction of new manufacturing structures,Construction & Maintenance
47,Construction of new power and communication structures,Construction & Maintenance
48,Construction of new educational and vocational structures,Construction & Maintenance
49,Construction of new highways and streets,Construction & Maintenance
50,"Construction of new commercial structures, including farm structures",Construction & Maintenance
51,Construction of other new nonresidential structures,Construction & Maintenance
52,Construction of new single-family residential structures,Construction & Maintenance
53,Construction of new multifamily residential structures,Construction & Maintenance
54,Construction of other new residential structures,Construction & Maintenance
55,Maintenance and repair construction of nonresidential structures,Construction & Maintenance
56,Maintenance and repair construction of residential structures,Construction & Maintenance
57,"Maintenance and repair construction of highways, streets, bridges, and tunnels",Construction & Maintenance
58,Dog and cat food manufacturing,Manufacturing - Food
59,Other animal food manufacturing,Manufacturing - Food
60,Flour milling,Manufacturing - Food
61,Rice milling,Manufacturing - Food
62,Malt manufacturing,Manufacturing - Food
63,Wet corn milling,Manufacturing - Food
64,Soybean and other oilseed processing,Manufacturing - Food
65,Fats and oils refining and blending,Manufacturing - Food
66,Breakfast cereal manufacturing,Manufacturing - Food
67,Beet sugar manufacturing,Manufacturing - Food
68,Sugar cane mills and refining,Manufacturing - Food
69,Nonchocolate confectionery manufacturing,Manufacturing - Food
70,Chocolate and confectionery manufacturing from cacao beans,Manufacturing - Food
71,Confectionery manufacturing from purchased chocolate,Manufacturing - Food
72,"Frozen fruits, juices and vegetables manufacturing",Manufacturing - Food
73,Frozen specialties manufacturing,Manufacturing - Food
74,Canned fruits and vegetables manufacturing,Manufacturing - Food
75,Canned specialties,Manufacturing - Food
76,Dehydrated food products manufacturing,Manufacturing - Food
77,Cheese manufacturing,Manufacturing - Food
